day,hour,% difference
17,4,0.43435679
17,4,0.10520651
17,5,0.45523415
17,5,0.12474055
17,6,0.21915183
17,6,0.06704839
17,7,0.1605668
17,7,0.09207284
17,8,0.10425976
17,8,0.07147537
17,9,0.08810494
17,9,0.10671193
17,10,0.11677984
17,10,0.02539574
17,11,0.05530853
17,11,0.09235564
17,12,0.07746878
17,12,0.11598791
17,13,0.20493943
17,13,0.17598159
17,14,0.1897257
17,14,0.14045633
17,15,0.14382787
17,15,0.11991806
17,16,0.13191406
17,16,0.09043638
17,17,0.09093117
17,17,0.06032101
17,18,0.04525608
17,18,0.04153288
17,19,0.0583592
17,19,0.05948545
17,20,0.02362415
17,20,0.00130549
17,21,0.05142079
17,21,0.0036439
17,22,0.02335813
17,22,0.04194977
17,23,0.17093483
17,23,0.06462053
18,0,0.0892935
18,0,0.03939653
18,1,0.14185031
18,1,0.01204656
18,2,0.13893489
18,2,0.01407975
18,3,0.13407308
18,3,0.0975323
18,4,0.16030419
18,4,0.05556662
18,5,0.13063349
18,5,0.04247071
18,6,0.03196235
18,6,0.01027755
18,7,0.03482065
18,7,0.0277567
18,8,0.0114099
18,8,0.04621509
18,9,0.070818
18,9,0.02049114
18,10,0.06293092
18,10,0.02012305
18,11,0.13322287
18,11,0.07932784
18,12,0.22859855
18,12,0.15658779
18,13,0.13225325
18,13,0.13634493
18,14,0.11012936
18,14,0.11018356
18,15,0.03883103
18,15,0.06728194
18,16,0.06449592
18,16,0.14945923
18,17,0.01033026
18,17,0.07853445
18,18,0.02609558
18,18,0.0809501
18,19,0.04515377
18,19,0.04265664
18,20,0.0387441
18,20,0.01932311
18,21,0.02085228
18,21,0.03532492
18,22,0.00673983
18,22,0.20360431
18,23,0.06773877
18,23,0.00221898
19,0,0.03448532
19,0,0.09929553
19,1,0.03895073
19,1,0.09127587
19,2,0.02037792
19,2,0.17830828
19,3,0.07940078
19,3,0.25673191
19,4,0.11749608
19,4,0.16486068
19,5,0.10335852
19,5,0.15669739
19,6,0.18266298
19,6,0.13327076
19,7,0.29810269
19,7,0.18138727
19,8,0.2159758
19,8,0.10940731
19,9,0.32545605
19,9,0.21418841
19,10,0.16239447
19,10,0.1561421
19,11,0.16622168
19,11,0.13500169
19,12,0.09699456
19,12,0.09095489
19,13,0.06186823
19,13,0.06116394
19,14,0.11405175
19,14,0.03015088
19,15,0.02421957
19,15,0.01300998
19,16,0.04996004
19,16,0.01090906
19,17,0.00353743
19,17,0.04298933
19,18,0.00865093
19,18,0.00953117
19,19,0.12149421
19,19,0.12138901
19,20,0.10872636
19,20,0.07302275
19,21,0.15637299
19,21,0.18818407
19,22,0.13498177
19,22,0.22672437
19,23,0.2434992
19,23,0.17549266
20,0,0.26880938
20,0,0.26244059
20,1,0.19371289
20,1,0.25652869
20,2,0.26870214
20,2,0.33339673
20,3,0.2906759
20,3,0.34241595
20,4,0.46114367
20,4,0.19799149
20,5,0.31042707
20,5,0.30337752
20,6,0.25795871
20,6,0.00581297
20,7,0.39941393
20,7,0.12956436
20,8,0.43305284
20,8,0.07106115
20,9,0.3624605
20,9,0.05061676
20,10,0.39755962
20,10,0.0464357
20,11,0.29442559
20,11,0.0502464
20,12,0.24383003
20,12,9.86E-05
20,13,0.25752751
20,13,0.04659413
20,14,0.1335345
20,14,0.00036624
20,15,0.11019698
20,15,0.04542414
