Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
01/01/2019,5,4,N,LZ_SOUTH,LZEW,16.26
01/01/2019,5,1,N,LZ_WEST,LZ,15.96
01/01/2019,5,1,N,LZ_WEST,LZEW,15.96
01/01/2019,5,2,N,LZ_WEST,LZ,15.82
01/01/2019,5,2,N,LZ_WEST,LZEW,15.82
01/01/2019,5,3,N,LZ_WEST,LZ,16.09
01/01/2019,5,3,N,LZ_WEST,LZEW,16.09
01/01/2019,5,4,N,LZ_WEST,LZ,16.26
01/01/2019,5,4,N,LZ_WEST,LZEW,16.26
01/01/2019,6,1,N,HB_BUSAVG,SH,16.83
01/01/2019,6,2,N,HB_BUSAVG,SH,16.85
01/01/2019,6,3,N,HB_BUSAVG,SH,16.95
01/01/2019,6,4,N,HB_BUSAVG,SH,17.23
01/01/2019,6,1,N,HB_HOUSTON,HU,16.83
01/01/2019,6,2,N,HB_HOUSTON,HU,16.85
01/01/2019,6,3,N,HB_HOUSTON,HU,16.95
01/01/2019,6,4,N,HB_HOUSTON,HU,17.23
01/01/2019,6,1,N,HB_HUBAVG,AH,16.83
01/01/2019,6,2,N,HB_HUBAVG,AH,16.85
01/01/2019,6,3,N,HB_HUBAVG,AH,16.95
01/01/2019,6,4,N,HB_HUBAVG,AH,17.23
01/01/2019,6,1,N,HB_NORTH,HU,16.83
01/01/2019,6,2,N,HB_NORTH,HU,16.85
