CPT,ENDING,ZONEID,"	MW"
1/2/07,9:45:00,"	242","	18107"
1/2/07,9:45:00,"	244","	10741"
1/2/07,9:45:00,"	246","	2283"
1/2/07,10:00:00,"	240","	6889"
1/2/07,10:00:00,"	242","	18113"
1/2/07,10:00:00,"	244","	10637"
1/2/07,10:00:00,"	246","	2277"
1/2/07,10:15:00,"	240","	6904"
1/2/07,10:15:00,"	242","	17454"
1/2/07,10:15:00,"	244","	10543"
1/2/07,10:15:00,"	246","	2327"
1/2/07,10:30:00,"	240","	6904"
1/2/07,10:30:00,"	242","	17473"
1/2/07,10:30:00,"	244","	10491"
1/2/07,10:30:00,"	246","	2308"
1/2/07,10:45:00,"	240","	6904"
1/2/07,10:45:00,"	242","	17528"
1/2/07,10:45:00,"	244","	10429"
1/2/07,10:45:00,"	246","	2254"
1/2/07,11:00:00,"	240","	6904"
1/2/07,11:00:00,"	242","	17617"
1/2/07,11:00:00,"	244","	10357"
1/2/07,11:00:00,"	246","	2166"
1/2/07,11:15:00,"	240","	6854"
1/2/07,11:15:00,"	242","	17019"
1/2/07,11:15:00,"	244","	10162"
1/2/07,11:15:00,"	246","	1899"
1/2/07,11:30:00,"	240","	6854"
1/2/07,11:30:00,"	242","	17110"
1/2/07,11:30:00,"	244","	10107"
1/2/07,11:30:00,"	246","	1808"
1/2/07,11:45:00,"	240","	6854"
1/2/07,11:45:00,"	242","	17167"
1/2/07,11:45:00,"	244","	10075"
1/2/07,11:45:00,"	246","	1758"
1/2/07,12:00:00,"	240","	6854"
1/2/07,12:00:00,"	242","	17190"
1/2/07,12:00:00,"	244","	10068"
1/2/07,12:00:00,"	246","	1736"
1/2/07,12:15:00,"	240","	6380"
1/2/07,12:15:00,"	242","	16285"
1/2/07,12:15:00,"	244","	9940"
1/2/07,12:15:00,"	246","	1855"
1/2/07,12:30:00,"	240","	6380"
1/2/07,12:30:00,"	242","	16299"
1/2/07,12:30:00,"	244","	9941"
1/2/07,12:30:00,"	246","	1844"
1/2/07,12:45:00,"	240","	6380"
1/2/07,12:45:00,"	242","	16318"
1/2/07,12:45:00,"	244","	9923"
1/2/07,12:45:00,"	246","	1846"
1/2/07,13:00:00,"	240","	6380"
1/2/07,13:00:00,"	242","	16542"
1/2/07,13:00:00,"	244","	9888"
1/2/07,13:00:00,"	246","	2024"
1/2/07,13:15:00,"	240","	6306"
1/2/07,13:15:00,"	242","	15727"
1/2/07,13:15:00,"	244","	9800"
1/2/07,13:15:00,"	246","	1713"
1/2/07,13:30:00,"	240","	6306"
1/2/07,13:30:00,"	242","	15773"
1/2/07,13:30:00,"	244","	9774"
1/2/07,13:30:00,"	246","	1667"
1/2/07,13:45:00,"	240","	6306"
1/2/07,13:45:00,"	242","	15823"
1/2/07,13:45:00,"	244","	9746"
1/2/07,13:45:00,"	246","	1617"
1/2/07,14:00:00,"	240","	6306"
1/2/07,14:00:00,"	242","	16076"
1/2/07,14:00:00,"	244","	9716"
1/2/07,14:00:00,"	246","	1765"
1/2/07,14:15:00,"	240","	6299"
1/2/07,14:15:00,"	242","	15521"
1/2/07,14:15:00,"	244","	9648"
1/2/07,14:15:00,"	246","	1485"
1/2/07,14:30:00,"	240","	6299"
1/2/07,14:30:00,"	242","	15570"
1/2/07,14:30:00,"	244","	9622"
1/2/07,14:30:00,"	246","	1436"
1/2/07,14:45:00,"	240","	6299"
1/2/07,14:45:00,"	242","	15602"
1/2/07,14:45:00,"	244","	9595"
1/2/07,14:45:00,"	246","	1404"
1/2/07,15:00:00,"	240","	6299"
1/2/07,15:00:00,"	242","	15665"
1/2/07,15:00:00,"	244","	9571"
1/2/07,15:00:00,"	246","	1486"
1/2/07,15:15:00,"	240","	6292"
1/2/07,15:15:00,"	242","	15470"
1/2/07,15:15:00,"	244","	9472"
1/2/07,15:15:00,"	246","	1383"
1/2/07,15:30:00,"	240","	6292"
1/2/07,15:30:00,"	242","	15478"
1/2/07,15:30:00,"	244","	9459"
1/2/07,15:30:00,"	246","	1375"
1/2/07,15:45:00,"	240","	6292"
1/2/07,15:45:00,"	242","	15483"
1/2/07,15:45:00,"	244","	9458"
1/2/07,15:45:00,"	246","	1370"
1/2/07,16:00:00,"	240","	6292"
1/2/07,16:00:00,"	242","	15684"
1/2/07,16:00:00,"	244","	9467"
1/2/07,16:00:00,"	246","	1466"
1/2/07,16:15:00,"	240","	5975"
1/2/07,16:15:00,"	242","	15580"
1/2/07,16:15:00,"	244","	9799"
1/2/07,16:15:00,"	246","	1366"
1/2/07,16:30:00,"	240","	5975"
1/2/07,16:30:00,"	242","	15572"
1/2/07,16:30:00,"	244","	9806"
1/2/07,16:30:00,"	246","	1374"
1/2/07,16:45:00,"	240","	5989"
1/2/07,16:45:00,"	242","	15548"
1/2/07,16:45:00,"	244","	9804"
1/2/07,16:45:00,"	246","	1403"
1/2/07,17:00:00,"	240","	6021"
1/2/07,17:00:00,"	242","	15507"
1/2/07,17:00:00,"	244","	9801"
1/2/07,17:00:00,"	246","	1446"
1/2/07,17:15:00,"	240","	6176"
1/2/07,17:15:00,"	242","	16301"
1/2/07,17:15:00,"	244","	9715"
1/2/07,17:15:00,"	246","	1575"
1/2/07,17:30:00,"	240","	6256"
