Plant Code,Plant Name,State,Sector Group,Sector Code,Prime Mover,Fuel Code,Aggregated Fuel Group,Generation (kWh),Useful Thermal Output (MMBtu),Total Fuel Consumption (MMBtu),Fuel Consumption for Electric Generation (MMBtu),"
 Fuel Consumption for Useful Thermal Output (MMBtu)",Quantity of Fuel Consumed,Fuel Units,Tons of CO2 Emissions,Metric Tonnes of CO2 Emissions,NERC Region,Balancing Authority Code,Balancing Authority Name,EIA Balancing Authority Region
55223,Ennis Power Company LLC,TX,ELECTRIC POWER,2.0,CT,NG,GAS,993168000.0,0.0,10837446.0,10837446.0,0.0,10663007.0,Mcf,633986.166070798,575148.476885419,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
55226,Freestone Energy Center,TX,ELECTRIC POWER,2.0,CA,NG,GAS,2657162000.0,0.0,0.0,0.0,0.0,0.0,Mcf,0.0,0.0,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
55226,Freestone Energy Center,TX,ELECTRIC POWER,2.0,CT,NG,GAS,4724369000.0,0.0,52871619.0,52871619.0,0.0,52135535.0,Mcf,3092968.12401796,2805922.27525896,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
55230,Jack County,TX,ELECTRIC POWER,1.0,CA,NG,GAS,1666355000.0,0.0,1584517.0,1584517.0,0.0,1563669.0,Mcf,92693.5975417089,84091.0800523532,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
55230,Jack County,TX,ELECTRIC POWER,1.0,CT,NG,GAS,2400369000.0,0.0,28485816.0,28485816.0,0.0,28102177.0,Mcf,1666408.60524132,1511755.96955577,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
55299,Channel Energy Center LLC,TX,ELECTRIC POWER,3.0,CA,NG,GAS,739219185.0,0.0,509024.0,509024.0,0.0,490538.0,Mcf,29777.6961655008,27014.1487485265,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
55299,Channel Energy Center LLC,TX,ELECTRIC POWER,3.0,CT,NG,GAS,2994194777.0,11262881.0,35653776.0,19090716.0,16563060.0,34442450.0,Mcf,2085731.33856325,1892163.05775493,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
55309,Air Products Port Arthur,TX,INDUSTRIAL,7.0,GT,NG,GAS,926535000.0,1082726.0,8321695.0,6198701.0,2122994.0,8150533.0,Mcf,486815.759751931,441636.36011243,SERC,MISO,"Midcontinent Independent System Operator, Inc.",Midwest
55309,Air Products Port Arthur,TX,INDUSTRIAL,7.0,ST,NG,GAS,64070264.0,401795.0,1216477.0,428643.0,787834.0,1212881.0,Mcf,71163.4078124409,64559.0200602748,SERC,MISO,"Midcontinent Independent System Operator, Inc.",Midwest
55311,BASF Freeport Works,TX,INDUSTRIAL,7.0,GT,NG,GAS,527210000.0,2629326.0,6860840.0,2815725.0,4045115.0,6616045.0,Mcf,401356.338719028,364108.081936884,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
